Time,Text
2024-03-05 16:49:45,Order 1206669416 successfully cancelled
2024-03-05 16:49:45,Order 1206669239 successfully cancelled
2024-03-05 16:49:26,Order 1206669239 modification confirmed
2024-03-05 16:49:26,"Modified order 1206669239 for symbol FOREXCOM:EURUSD with price 1.08448, qty 900000 with SL 1.08504"
2024-03-05 16:49:16,Order 1206669416 successfully placed
2024-03-05 16:49:16,Order 1206669239 modification confirmed
2024-03-05 16:49:16,"Modified order 1206669239 for symbol FOREXCOM:EURUSD with price 1.08448, qty 820000 with SL 1.08504"
2024-03-05 16:49:08,Order 1206669239 successfully placed
2024-03-05 16:49:08,Call to place limit order to sell 820000 shares of symbol FOREXCOM:EURUSD at price 1.08448 
2024-03-05 01:26:44,Order 1205397329 for symbol BINANCE:BTCUSDT.P has been executed at price 67281.3 for 1.367 shares
2024-03-05 01:26:44,Order 1205388836 successfully cancelled
2024-03-05 00:49:17,Order 1205397329 successfully placed
2024-03-05 00:49:17,Order 1205388836 modification confirmed
2024-03-05 00:49:17,Modify position for symbol BINANCE:BTCUSDT.P with SL 66160.4 and TP 67262.8
2024-03-05 00:47:44,Order 1205388836 modification confirmed
2024-03-05 00:47:44,Modify position for symbol BINANCE:BTCUSDT.P with SL 66160.4
2024-03-05 00:45:58,Order 1205388836 successfully placed
2024-03-05 00:45:58,Modify position for symbol BINANCE:BTCUSDT.P with SL 66119.9
2024-03-05 00:45:49,Order 1205388374 for symbol BINANCE:BTCUSDT.P has been executed at price 66524.7 for 1.367 shares
2024-03-05 00:45:49,Order 1205388374 successfully placed
2024-03-05 00:45:49,Call to place market order to buy 1.367 shares of symbol BINANCE:BTCUSDT.P 
2024-03-04 22:52:50,Order 1204803467 for symbol FOREXCOM:EURUSD has been executed at price 1.08606 for 800000 shares
2024-03-04 22:52:50,Order 1204802849 successfully cancelled
2024-03-04 22:29:04,Order 1204813462 for symbol BINANCE:BTCUSDT.P has been executed at price 65437.3 for 1.349 shares
2024-03-04 22:29:04,Order 1204813731 successfully cancelled
2024-03-04 22:02:11,Order 1204813731 successfully placed
2024-03-04 22:02:11,Order 1204813462 modification confirmed
2024-03-04 22:02:11,Modify position for symbol BINANCE:BTCUSDT.P with SL 65437.6 and TP 64362.2
2024-03-04 22:02:06,Order 1204813462 successfully placed
2024-03-04 22:02:06,Modify position for symbol BINANCE:BTCUSDT.P with SL 65437.6
2024-03-04 22:01:48,Order 1204812511 for symbol BINANCE:BTCUSDT.P has been executed at price 65078.2 for 1.349 shares
2024-03-04 22:01:48,Order 1204812511 successfully placed
2024-03-04 22:01:48,Call to place market order to sell 1.349 shares of symbol BINANCE:BTCUSDT.P 
2024-03-04 21:58:45,Order 1204803467 successfully placed
2024-03-04 21:58:45,Order 1204802849 modification confirmed
2024-03-04 21:58:45,Modify position for symbol FOREXCOM:EURUSD with SL 1.08429 and TP 1.08606
2024-03-04 21:58:31,Order 1204802849 successfully placed
2024-03-04 21:58:31,Modify position for symbol FOREXCOM:EURUSD with SL 1.08429
2024-03-04 21:58:26,Order 1204802580 for symbol FOREXCOM:EURUSD has been executed at price 1.08488 for 800000 shares
2024-03-04 21:58:26,Order 1204802580 successfully placed
2024-03-04 21:58:26,Call to place market order to buy 800000 shares of symbol FOREXCOM:EURUSD 
2024-03-02 04:28:54,Order 1201417810 for symbol BINANCE:BTCUSDT.P has been executed at price 62555.1 for 1.35 shares
2024-03-02 04:28:54,Order 1201418503 successfully cancelled
2024-03-02 03:12:00,Order 1201418503 successfully placed
2024-03-02 03:12:00,Order 1201417810 modification confirmed
2024-03-02 03:12:00,Modify position for symbol BINANCE:BTCUSDT.P with SL 62559.4 and TP 61479.8
2024-03-02 03:11:43,Order 1201417810 successfully placed
2024-03-02 03:11:43,Modify position for symbol BINANCE:BTCUSDT.P with SL 62559.4
2024-03-02 03:11:33,Order 1201417526 for symbol BINANCE:BTCUSDT.P has been executed at price 62210.0 for 1.35 shares
2024-03-02 03:11:33,Order 1201417526 successfully placed
2024-03-02 03:11:33,Call to place market order to sell 1.35 shares of symbol BINANCE:BTCUSDT.P 
2024-03-01 18:12:11,Order 1200033399 for symbol FOREXCOM:EURUSD has been executed at price 1.08096 for 800000 shares
2024-03-01 18:12:11,Order 1200033515 successfully cancelled
2024-03-01 17:56:39,Order 1200033515 successfully placed
2024-03-01 17:56:39,Order 1200033399 modification confirmed
2024-03-01 17:56:39,Modify position for symbol FOREXCOM:EURUSD with SL 1.08096 and TP 1.08309
2024-03-01 17:56:34,Order 1200033399 successfully placed
2024-03-01 17:56:34,Modify position for symbol FOREXCOM:EURUSD with SL 1.08096
2024-03-01 17:56:02,Order 1200032589 for symbol FOREXCOM:EURUSD has been executed at price 1.08163 for 800000 shares
2024-03-01 17:56:02,Order 1200032589 successfully placed
2024-03-01 17:56:02,Call to place market order to buy 800000 shares of symbol FOREXCOM:EURUSD 
2024-03-01 00:40:17,Order 1198422539 for symbol BINANCE:BTCUSDT.P has been executed at price 61930.9 for 1 shares
2024-03-01 00:40:17,Order 1198421463 successfully cancelled
2024-02-29 22:52:34,Order 1198422539 modification confirmed
2024-02-29 22:52:34,Order 1198421463 modification confirmed
2024-02-29 22:52:34,Modify position for symbol BINANCE:BTCUSDT.P with SL 63458.4 and TP 61954.6
2024-02-29 22:46:42,Order 1198422539 successfully placed
2024-02-29 22:46:42,Order 1198421463 modification confirmed
2024-02-29 22:46:42,Modify position for symbol BINANCE:BTCUSDT.P with SL 63458.4 and TP 61964.7
2024-02-29 22:46:27,Order 1198421463 successfully placed
2024-02-29 22:46:27,Modify position for symbol BINANCE:BTCUSDT.P with SL 63458.4
2024-02-29 22:46:22,Order 1198421139 for symbol BINANCE:BTCUSDT.P has been executed at price 62958.8 for 1 shares
2024-02-29 22:46:22,Order 1198421139 successfully placed
2024-02-29 22:46:22,Call to place market order to sell 1 shares of symbol BINANCE:BTCUSDT.P 
2024-02-28 22:37:04,Order 1196183770 for symbol FOREXCOM:EURUSD has been executed at price 1.08249 for 600000 shares
2024-02-28 22:37:04,Order 1196049125 successfully cancelled
2024-02-28 22:37:04,Order 1196047267 successfully cancelled
2024-02-28 22:37:04,Order 1196183770 successfully placed
2024-02-28 22:37:04,Call to place market order to sell 600000 shares of symbol FOREXCOM:EURUSD 
2024-02-28 21:48:37,Order 1196049125 modification confirmed
2024-02-28 21:48:37,Order 1196047267 modification confirmed
2024-02-28 21:48:36,Modify position for symbol FOREXCOM:EURUSD with SL 1.08139 and TP 1.08414
2024-02-28 21:48:16,Order 1196049125 modification confirmed
2024-02-28 21:48:16,Order 1196047267 modification confirmed
2024-02-28 21:48:16,Modify position for symbol FOREXCOM:EURUSD with SL 1.08137 and TP 1.08414
2024-02-28 21:47:58,Order 1196049125 successfully placed
2024-02-28 21:47:58,Order 1196047267 modification confirmed
2024-02-28 21:47:58,Modify position for symbol FOREXCOM:EURUSD with SL 1.08137 and TP 1.08391
