Symbol,Side,Type,Qty,Limit Price,Stop Price,Fill Price,Status,Commission,Leverage,Margin,Placing Time,Closing Time,Order ID
FOREXCOM:EURUSD,Sell,Limit,800000,1.08606,,1.08606,Filled,,,,2024-03-04 21:58:45,2024-03-04 22:52:50,1204803467
BINANCE:BTCUSDT.P,Sell,Market,1.349,,,65078.2,Filled,,500:1,175.53 USD,2024-03-04 22:01:48,2024-03-04 22:01:48,1204812511
BINANCE:BTCUSDT.P,Buy,Stop,1.349,,65437.6,65437.3,Filled,,,,2024-03-04 22:02:06,2024-03-04 22:29:04,1204813462
BINANCE:BTCUSDT.P,Buy,Limit,1.349,64362.2,,,Cancelled,,,,2024-03-04 22:02:11,2024-03-04 22:29:04,1204813731
BINANCE:BTCUSDT.P,Buy,Market,1.367,,,66524.7,Filled,,500:1,181.82 USD,2024-03-05 00:45:49,2024-03-05 00:45:49,1205388374
BINANCE:BTCUSDT.P,Sell,Stop,1.367,,66160.4,,Cancelled,,,,2024-03-05 00:45:58,2024-03-05 01:26:44,1205388836
BINANCE:BTCUSDT.P,Sell,Limit,1.367,67262.8,,67281.3,Filled,,,,2024-03-05 00:49:17,2024-03-05 01:26:44,1205397329
FOREXCOM:EURUSD,Sell,Limit,900000,1.08448,,,Cancelled,,500:1,,2024-03-05 16:49:08,2024-03-05 16:49:45,1206669239
FOREXCOM:EURUSD,Buy,Stop,900000,,1.08504,,Cancelled,,,,2024-03-05 16:49:16,2024-03-05 16:49:45,1206669416
FOREXCOM:EURUSD,Sell,Market,900000,,,1.08443,Filled,,500:1,"1,951.97 USD",2024-03-05 16:49:48,2024-03-05 16:49:48,1206670215
FOREXCOM:EURUSD,Buy,Stop,900000,,1.08504,1.08504,Filled,,,,2024-03-05 16:49:54,2024-03-05 17:05:36,1206670349
FOREXCOM:EURUSD,Buy,Limit,900000,1.08324,,,Cancelled,,,,2024-03-05 16:50:09,2024-03-05 17:05:36,1206670798
FOREXCOM:EURUSD,Buy,Market,1000000,,,1.08523,Filled,,500:1,"2,170.46 USD",2024-03-05 17:10:37,2024-03-05 17:10:37,1206700998
FOREXCOM:EURUSD,Sell,Stop,1000000,,1.08473,1.08472,Filled,,,,2024-03-05 17:10:42,2024-03-05 20:09:29,1206701123
FOREXCOM:EURUSD,Sell,Limit,1000000,1.08623,,,Cancelled,,,,2024-03-05 17:10:47,2024-03-05 20:09:29,1206701247
FOREXCOM:EURUSD,Sell,Market,900000,,,1.08455,Filled,,500:1,"1,952.19 USD",2024-03-05 21:46:54,2024-03-05 21:46:54,1207108791
FOREXCOM:EURUSD,Buy,Stop,900000,,1.08515,1.08516,Filled,,,,2024-03-05 21:47:11,2024-03-05 22:14:12,1207109533
FOREXCOM:EURUSD,Buy,Limit,900000,1.08335,,,Cancelled,,,,2024-03-05 21:47:26,2024-03-05 22:14:12,1207110122
BINANCE:BTCUSDT,Buy,Market,1,,,67330,Filled,,500:1,134.62 USD,2024-03-05 23:48:21,2024-03-05 23:48:22,1207574279
BINANCE:BTCUSDT,Sell,Stop,1,,66798.23,66769.59,Filled,,,,2024-03-05 23:49:20,2024-03-06 00:00:00,1207577707
BINANCE:BTCUSDT,Sell,Limit,1,68325.1,,,Cancelled,,,,2024-03-05 23:49:25,2024-03-06 00:00:00,1207577973
